Field,StrategyOrDate,TOP_N_COUNT,Value
AggReturn,2019-06-04 00:00:00,4,0.0136354313779194
AggReturn,2019-06-04 00:00:00,6,0.0169878734851742
AggReturn,2019-06-04 00:00:00,8,0.0172630194862934
AggReturn,2019-06-05 00:00:00,2,-0.0057813212433336
AggReturn,2019-06-05 00:00:00,4,-0.0097936540978825
AggReturn,2019-06-05 00:00:00,6,-0.0297860172144013
AggReturn,2019-06-05 00:00:00,8,-0.0292098816433151
AggReturn,2019-06-06 00:00:00,2,0.0246504198095364
AggReturn,2019-06-06 00:00:00,4,0.0519871520507986
AggReturn,2019-06-06 00:00:00,6,0.0609315553507941
AggReturn,2019-06-06 00:00:00,8,0.0431414009748951
AggReturn,2019-06-07 00:00:00,2,0.0405579328505595
AggReturn,2019-06-07 00:00:00,4,0.0101498085822792
AggReturn,2019-06-07 00:00:00,6,0.0119179078865824
AggReturn,2019-06-07 00:00:00,8,0.0416118928436133
AggReturn,2019-06-10 00:00:00,2,0.0016530044538185
AggReturn,2019-06-10 00:00:00,4,0.0123483595181165
