Field,StrategyOrDate,MOMENTUM_WINDOW,VOLATILITY_WINDOW,Value
AggReturn,2019-04-12 00:00:00,200,40,0.0182626517291786
AggReturn,2019-04-12 00:00:00,200,80,0.039239618840285
AggReturn,2019-04-15 00:00:00,100,40,-0.0161726410101692
AggReturn,2019-04-15 00:00:00,100,80,-0.0265002432805915
AggReturn,2019-04-15 00:00:00,200,40,-0.0065701279480565
AggReturn,2019-04-15 00:00:00,200,80,-0.0091350129162945
AggReturn,2019-04-16 00:00:00,100,40,0.0342118873987922
AggReturn,2019-04-16 00:00:00,100,80,0.0275001482278255
AggReturn,2019-04-16 00:00:00,200,40,0.0113053043948167
AggReturn,2019-04-16 00:00:00,200,80,0.0202757975938648
AggReturn,2019-04-17 00:00:00,100,40,0.004875659859913
AggReturn,2019-04-17 00:00:00,100,80,-0.0169755274333066
AggReturn,2019-04-17 00:00:00,200,40,-0.0110107865260522
AggReturn,2019-04-17 00:00:00,200,80,0.0006472822545008
AggReturn,2019-04-18 00:00:00,100,40,-0.0004058366584271
AggReturn,2019-04-18 00:00:00,100,80,0.0023849419675074
AggReturn,2019-04-18 00:00:00,200,40,0.0075172169666355
AggReturn,2019-04-18 00:00:00,200,80,-0.0016561937390106
AggReturn,2019-04-22 00:00:00,100,40,-0.001717003103689
AggReturn,2019-04-22 00:00:00,100,80,0.0098797010054101
AggReturn,2019-04-22 00:00:00,200,40,0.0027734340425769
AggReturn,2019-04-22 00:00:00,200,80,-0.0098616805355251
AggReturn,2019-04-23 00:00:00,100,40,0.0181577741894577
AggReturn,2019-04-23 00:00:00,100,80,0.0041627991761125
AggReturn,2019-04-23 00:00:00,200,40,-0.0016384986566774
AggReturn,2019-04-23 00:00:00,200,80,0.0064223694947769
AggReturn,2019-04-24 00:00:00,100,40,-0.0094688168920169
AggReturn,2019-04-24 00:00:00,100,80,-0.0192734931429303
AggReturn,2019-04-24 00:00:00,200,40,-0.010247785178555
AggReturn,2019-04-24 00:00:00,200,80,-0.0086811079496052
AggReturn,2019-04-25 00:00:00,100,40,0.0026321659355896
AggReturn,2019-04-25 00:00:00,100,80,-0.0067604067130737
AggReturn,2019-04-25 00:00:00,200,40,0.0182268257383867
AggReturn,2019-04-25 00:00:00,200,80,0.0059533837209851
AggReturn,2019-04-26 00:00:00,100,40,0.0227358626848265
AggReturn,2019-04-26 00:00:00,100,80,0.0041683994668831
AggReturn,2019-04-26 00:00:00,200,40,-0.0166837532672355
AggReturn,2019-04-26 00:00:00,200,80,0.0103007701477547
AggReturn,2019-04-29 00:00:00,100,40,0.0161890475841575
AggReturn,2019-04-29 00:00:00,100,80,0.0220896828065814
AggReturn,2019-04-29 00:00:00,200,40,0.0150956870393367
AggReturn,2019-04-29 00:00:00,200,80,0.0178212081432163
AggReturn,2019-04-30 00:00:00,100,40,0.0006909931868573
AggReturn,2019-04-30 00:00:00,100,80,0.0204262012929062
AggReturn,2019-04-30 00:00:00,200,40,0.0010787895754493
AggReturn,2019-04-30 00:00:00,200,80,-0.0046578352704043
AggReturn,2019-05-01 00:00:00,100,40,0.0198817914097604
AggReturn,2019-05-01 00:00:00,100,80,0.0136001350844298
AggReturn,2019-05-01 00:00:00,200,40,0.0038921877262211
AggReturn,2019-05-01 00:00:00,200,80,0.0210743845769032
AggReturn,2019-05-02 00:00:00,100,40,-0.0483338581285997
AggReturn,2019-05-02 00:00:00,100,80,-0.0403482402686781
AggReturn,2019-05-02 00:00:00,200,40,-0.0419443815361752
AggReturn,2019-05-02 00:00:00,200,80,-0.0302220851409816
AggReturn,2019-05-03 00:00:00,100,40,0.0583593076725865
AggReturn,2019-05-03 00:00:00,100,80,0.027803702423291
AggReturn,2019-05-03 00:00:00,200,40,0.0344846494217274
AggReturn,2019-05-03 00:00:00,200,80,0.0303838721502185
AggReturn,2019-05-06 00:00:00,100,40,0.0093662431930539
AggReturn,2019-05-06 00:00:00,100,80,0.0156747103560321
AggReturn,2019-05-06 00:00:00,200,40,-0.0036871795403094
AggReturn,2019-05-06 00:00:00,200,80,-0.0132109890641189
AggReturn,2019-05-07 00:00:00,100,40,-0.0111159098594562
AggReturn,2019-05-07 00:00:00,100,80,-0.0318330532255562
